date,day_of_week,is_weekend,temperature,weather_condition,local_event,Tacos,Burritos
2026-01-01,Thursday,0,18.5,Sunny,0,52,45
2026-01-02,Friday,1,14.2,Cloudy,0,48,39
2026-01-03,Saturday,1,20.1,Rainy,1,98,120
2026-01-04,Sunday,1,22.3,Sunny,0,110,130
2026-01-05,Monday,0,15.0,Cloudy,0,45,40
2026-01-06,Tuesday,0,12.5,Stormy,0,30,25
2026-01-07,Wednesday,0,16.2,Sunny,0,50,48
2026-01-08,Thursday,0,19.1,Sunny,0,55,50
2026-01-09,Friday,1,21.5,Cloudy,1,85,90
2026-01-10,Saturday,1,23.4,Sunny,0,95,110
2026-01-11,Sunday,1,20.8,Rainy,0,80,85
2026-01-12,Monday,0,17.2,Cloudy,0,48,42
2026-01-13,Tuesday,0,15.5,Sunny,0,52,47
2026-01-14,Wednesday,0,14.8,Rainy,0,40,35
2026-01-15,Thursday,0,18.9,Sunny,0,58,55
2026-01-16,Friday,1,22.1,Sunny,1,105,125
2026-01-17,Saturday,1,24.5,Cloudy,0,98,115
2026-01-18,Sunday,1,21.2,Stormy,0,60,70
2026-01-19,Monday,0,16.8,Cloudy,0,46,41
2026-01-20,Tuesday,0,18.3,Sunny,0,54,49
2026-01-21,Wednesday,0,20.1,Sunny,0,59,54
2026-01-22,Thursday,0,19.5,Cloudy,0,56,51
2026-01-23,Friday,1,23.2,Sunny,1,110,135
2026-01-24,Saturday,1,25.8,Sunny,0,105,120
2026-01-25,Sunday,1,22.4,Rainy,0,75,80
2026-01-26,Monday,0,18.1,Cloudy,0,50,45
2026-01-27,Tuesday,0,16.5,Sunny,0,53,48
2026-01-28,Wednesday,0,15.2,Rainy,0,42,38
2026-01-29,Thursday,0,17.7,Cloudy,0,55,50
2026-01-30,Friday,1,21.9,Sunny,0,88,95
2026-01-31,Saturday,1,24.1,Sunny,1,115,140
2026-02-01,Sunday,1,20.5,Cloudy,0,90,105
